[ii] n=92103 bank=72204.2930 mode=bfs target=6000 block_time=60.0s seed=7
[r730] best=72204.2930 gains=0 lat=0 region~6000 free~954 t=33s status=OPTIMAL
[r740] best=72204.2930 gains=0 lat=0 region~6000 free~939 t=33s status=OPTIMAL
[r750] best=72204.2930 gains=0 lat=0 region~6000 free~966 t=34s status=OPTIMAL
[r760] best=72204.2930 gains=0 lat=0 region~6000 free~938 t=34s status=OPTIMAL
[r770] best=72204.2930 gains=0 lat=0 region~6000 free~965 t=35s status=OPTIMAL
[r780] best=72204.2930 gains=0 lat=0 region~6000 free~906 t=35s status=OPTIMAL
[r790] best=72204.2930 gains=0 lat=0 region~6001 free~947 t=35s status=OPTIMAL
[r800] best=72204.2930 gains=0 lat=0 region~6000 free~928 t=36s status=OPTIMAL
[r810] best=72204.2930 gains=0 lat=0 region~6000 free~938 t=36s status=OPTIMAL
[r820] best=72204.2930 gains=0 lat=0 region~6000 free~914 t=37s status=OPTIMAL
[r830] best=72204.2930 gains=0 lat=0 region~6000 free~924 t=37s status=OPTIMAL
[r840] best=72204.2930 gains=0 lat=0 region~6001 free~924 t=38s status=OPTIMAL
[r850] best=72204.2930 gains=0 lat=0 region~6001 free~953 t=38s status=OPTIMAL
[r860] best=72204.2930 gains=0 lat=0 region~6001 free~909 t=39s status=OPTIMAL
[r870] best=72204.2930 gains=0 lat=0 region~6001 free~944 t=39s status=OPTIMAL
[r880] best=72204.2930 gains=0 lat=0 region~6001 free~954 t=40s status=OPTIMAL
[r890] best=72204.2930 gains=0 lat=0 region~6001 free~950 t=40s status=OPTIMAL
[r900] best=72204.2930 gains=0 lat=0 region~6000 free~917 t=41s status=OPTIMAL
[r910] best=72204.2930 gains=0 lat=0 region~6000 free~937 t=41s status=OPTIMAL
[r920] best=72204.2930 gains=0 lat=0 region~6001 free~926 t=41s status=OPTIMAL
[r930] best=72204.2930 gains=0 lat=0 region~6001 free~931 t=42s status=OPTIMAL
[r940] best=72204.2930 gains=0 lat=0 region~6000 free~942 t=42s status=OPTIMAL
[r950] best=72204.2930 gains=0 lat=0 region~6000 free~905 t=43s status=OPTIMAL
[r960] best=72204.2930 gains=0 lat=0 region~6000 free~923 t=43s status=OPTIMAL
[r970] best=72204.2930 gains=0 lat=0 region~6001 free~929 t=44s status=OPTIMAL
[r980] best=72204.2930 gains=0 lat=0 region~6001 free~921 t=44s status=OPTIMAL
[r990] best=72204.2930 gains=0 lat=0 region~6000 free~908 t=45s status=OPTIMAL
[r1000] best=72204.2930 gains=0 lat=0 region~6001 free~935 t=45s status=OPTIMAL
[r1010] best=72204.2930 gains=0 lat=0 region~6000 free~911 t=45s status=OPTIMAL
[r1020] best=72204.2930 gains=0 lat=0 region~6001 free~948 t=46s status=OPTIMAL
[r1030] best=72204.2930 gains=0 lat=0 region~6001 free~923 t=46s status=OPTIMAL
[r1040] best=72204.2930 gains=0 lat=0 region~6000 free~940 t=47s status=OPTIMAL
[r1050] best=72204.2930 gains=0 lat=0 region~6000 free~958 t=47s status=OPTIMAL
[r1060] best=72204.2930 gains=0 lat=0 region~6001 free~946 t=48s status=OPTIMAL
[r1070] best=72204.2930 gains=0 lat=0 region~6000 free~923 t=48s status=OPTIMAL
[r1080] best=72204.2930 gains=0 lat=0 region~6000 free~951 t=49s status=OPTIMAL
[r1090] best=72204.2930 gains=0 lat=0 region~6000 free~935 t=49s status=OPTIMAL
[r1100] best=72204.2930 gains=0 lat=0 region~6001 free~948 t=50s status=OPTIMAL
[r1110] best=72204.2930 gains=0 lat=0 region~6001 free~921 t=50s status=OPTIMAL
[r1120] best=72204.2930 gains=0 lat=0 region~6001 free~948 t=51s status=OPTIMAL
[r1130] best=72204.2930 gains=0 lat=0 region~6000 free~936 t=51s status=OPTIMAL
[r1140] best=72204.2930 gains=0 lat=0 region~6001 free~947 t=51s status=OPTIMAL
[r1150] best=72204.2930 gains=0 lat=0 region~6001 free~941 t=52s status=OPTIMAL
[r1160] best=72204.2930 gains=0 lat=0 region~6001 free~924 t=52s status=OPTIMAL
[r1170] best=72204.2930 gains=0 lat=0 region~6000 free~940 t=53s status=OPTIMAL
[r1180] best=72204.2930 gains=0 lat=0 region~6001 free~934 t=53s status=OPTIMAL
[r1190] best=72204.2930 gains=0 lat=0 region~6001 free~941 t=54s status=OPTIMAL
[r1200] best=72204.2930 gains=0 lat=0 region~6000 free~925 t=54s status=OPTIMAL
[r1210] best=72204.2930 gains=0 lat=0 region~6001 free~950 t=55s status=OPTIMAL
[r1220] best=72204.2930 gains=0 lat=0 region~6000 free~909 t=55s status=OPTIMAL
[r1230] best=72204.2930 gains=0 lat=0 region~6001 free~930 t=56s status=OPTIMAL
[r1240] best=72204.2930 gains=0 lat=0 region~6000 free~928 t=56s status=OPTIMAL
[r1250] best=72204.2930 gains=0 lat=0 region~6000 free~940 t=57s status=OPTIMAL
[r1260] best=72204.2930 gains=0 lat=0 region~6000 free~941 t=57s status=OPTIMAL
[r1270] best=72204.2930 gains=0 lat=0 region~6000 free~958 t=57s status=OPTIMAL
[r1280] best=72204.2930 gains=0 lat=0 region~6000 free~943 t=58s status=OPTIMAL
[r1290] best=72204.2930 gains=0 lat=0 region~6001 free~940 t=58s status=OPTIMAL
[r1300] best=72204.2930 gains=0 lat=0 region~6001 free~928 t=59s status=OPTIMAL
[r1310] best=72204.2930 gains=0 lat=0 region~6000 free~958 t=59s status=OPTIMAL
[r1320] best=72204.2930 gains=0 lat=0 region~6000 free~930 t=60s status=OPTIMAL
[r1330] best=72204.2930 gains=0 lat=0 region~6000 free~941 t=60s status=OPTIMAL
[r1340] best=72204.2930 gains=0 lat=0 region~6001 free~916 t=61s status=OPTIMAL
[r1350] best=72204.2930 gains=0 lat=0 region~6000 free~933 t=62s status=OPTIMAL
[r1360] best=72204.2930 gains=0 lat=0 region~6001 free~962 t=62s status=OPTIMAL
[r1370] best=72204.2930 gains=0 lat=0 region~6001 free~965 t=63s status=OPTIMAL
[r1380] best=72204.2930 gains=0 lat=0 region~6001 free~932 t=63s status=OPTIMAL
[r1390] best=72204.2930 gains=0 lat=0 region~6001 free~927 t=64s status=OPTIMAL
[r1400] best=72204.2930 gains=0 lat=0 region~6000 free~919 t=65s status=OPTIMAL
[r1410] best=72204.2930 gains=0 lat=0 region~6001 free~911 t=65s status=OPTIMAL
[r1420] best=72204.2930 gains=0 lat=0 region~6000 free~918 t=65s status=OPTIMAL
[r1430] best=72204.2930 gains=0 lat=0 region~6001 free~953 t=66s status=OPTIMAL
[r1440] best=72204.2930 gains=0 lat=0 region~6000 free~927 t=66s status=OPTIMAL
[r1450] best=72204.2930 gains=0 lat=0 region~6001 free~927 t=67s status=OPTIMAL
[r1460] best=72204.2930 gains=0 lat=0 region~6001 free~954 t=67s status=OPTIMAL
[r1470] best=72204.2930 gains=0 lat=0 region~6000 free~945 t=68s status=OPTIMAL
[r1480] best=72204.2930 gains=0 lat=0 region~6001 free~922 t=68s status=OPTIMAL
[r1490] best=72204.2930 gains=0 lat=0 region~6001 free~966 t=69s status=OPTIMAL
[r1500] best=72204.2930 gains=0 lat=0 region~6001 free~935 t=69s status=OPTIMAL
[r1510] best=72204.2930 gains=0 lat=0 region~6000 free~935 t=70s status=OPTIMAL
[r1520] best=72204.2930 gains=0 lat=0 region~6001 free~920 t=70s status=OPTIMAL
[r1530] best=72204.2930 gains=0 lat=0 region~6000 free~929 t=71s status=OPTIMAL
[r1540] best=72204.2930 gains=0 lat=0 region~6000 free~940 t=71s status=OPTIMAL
[r1550] best=72204.2930 gains=0 lat=0 region~6000 free~944 t=71s status=OPTIMAL
[r1560] best=72204.2930 gains=0 lat=0 region~6001 free~924 t=72s status=OPTIMAL
[r1570] best=72204.2930 gains=0 lat=0 region~6000 free~938 t=72s status=OPTIMAL
[r1580] best=72204.2930 gains=0 lat=0 region~6000 free~923 t=73s status=OPTIMAL
[r1590] best=72204.2930 gains=0 lat=0 region~6000 free~921 t=73s status=OPTIMAL
[r1600] best=72204.2930 gains=0 lat=0 region~6001 free~918 t=74s status=OPTIMAL
[r1610] best=72204.2930 gains=0 lat=0 region~6000 free~935 t=74s status=OPTIMAL
[r1620] best=72204.2930 gains=0 lat=0 region~6001 free~934 t=74s status=OPTIMAL
[r1630] best=72204.2930 gains=0 lat=0 region~6001 free~955 t=75s status=OPTIMAL
[r1640] best=72204.2930 gains=0 lat=0 region~6001 free~968 t=75s status=OPTIMAL
[r1650] best=72204.2930 gains=0 lat=0 region~6001 free~936 t=76s status=OPTIMAL
[r1660] best=72204.2930 gains=0 lat=0 region~6000 free~910 t=76s status=OPTIMAL
[r1670] best=72204.2930 gains=0 lat=0 region~6001 free~944 t=77s status=OPTIMAL
[r1680] best=72204.2930 gains=0 lat=0 region~6000 free~925 t=77s status=OPTIMAL
[r1690] best=72204.2930 gains=0 lat=0 region~6000 free~944 t=78s status=OPTIMAL
[r1700] best=72204.2930 gains=0 lat=0 region~6001 free~932 t=78s status=OPTIMAL
[r1710] best=72204.2930 gains=0 lat=0 region~6001 free~949 t=79s status=OPTIMAL
[r1720] best=72204.2930 gains=0 lat=0 region~6000 free~942 t=79s status=OPTIMAL
[r1730] best=72204.2930 gains=0 lat=0 region~6001 free~942 t=80s status=OPTIMAL
[r1740] best=72204.2930 gains=0 lat=0 region~6001 free~909 t=80s status=OPTIMAL
[r1750] best=72204.2930 gains=0 lat=0 region~6001 free~934 t=81s status=OPTIMAL
[r1760] best=72204.2930 gains=0 lat=0 region~6001 free~945 t=81s status=OPTIMAL
[r1770] best=72204.2930 gains=0 lat=0 region~6001 free~915 t=81s status=OPTIMAL
[r1780] best=72204.2930 gains=0 lat=0 region~6001 free~940 t=82s status=OPTIMAL
[r1790] best=72204.2930 gains=0 lat=0 region~6000 free~936 t=82s status=OPTIMAL
[r1800] best=72204.2930 gains=0 lat=0 region~6000 free~927 t=83s status=OPTIMAL
[r1810] best=72204.2930 gains=0 lat=0 region~6000 free~947 t=83s status=OPTIMAL
[r1820] best=72204.2930 gains=0 lat=0 region~6001 free~999 t=84s status=OPTIMAL
[r1830] best=72204.2930 gains=0 lat=0 region~6001 free~938 t=84s status=OPTIMAL
[r1840] best=72204.2930 gains=0 lat=0 region~6000 free~910 t=85s status=OPTIMAL
[r1850] best=72204.2930 gains=0 lat=0 region~6001 free~933 t=85s status=OPTIMAL
[r1860] best=72204.2930 gains=0 lat=0 region~6000 free~967 t=85s status=OPTIMAL
[r1870] best=72204.2930 gains=0 lat=0 region~6001 free~968 t=86s status=OPTIMAL
[r1880] best=72204.2930 gains=0 lat=0 region~6001 free~947 t=86s status=OPTIMAL
[r1890] best=72204.2930 gains=0 lat=0 region~6000 free~942 t=87s status=OPTIMAL
[r1900] best=72204.2930 gains=0 lat=0 region~6000 free~958 t=87s status=OPTIMAL
[r1910] best=72204.2930 gains=0 lat=0 region~6001 free~922 t=88s status=OPTIMAL
[r1920] best=72204.2930 gains=0 lat=0 region~6001 free~947 t=88s status=OPTIMAL
[r1930] best=72204.2930 gains=0 lat=0 region~6001 free~936 t=89s status=OPTIMAL
[r1940] best=72204.2930 gains=0 lat=0 region~6000 free~934 t=89s status=OPTIMAL
[r1950] best=72204.2930 gains=0 lat=0 region~6001 free~959 t=90s status=OPTIMAL
[r1960] best=72204.2930 gains=0 lat=0 region~6001 free~931 t=90s status=OPTIMAL
[r1970] best=72204.2930 gains=0 lat=0 region~6000 free~917 t=90s status=OPTIMAL
[r1980] best=72204.2930 gains=0 lat=0 region~6000 free~925 t=91s status=OPTIMAL
[r1990] best=72204.2930 gains=0 lat=0 region~6000 free~930 t=91s status=OPTIMAL
[r2000] best=72204.2930 gains=0 lat=0 region~6000 free~945 t=92s status=OPTIMAL
[r2010] best=72204.2930 gains=0 lat=0 region~6000 free~916 t=92s status=OPTIMAL
[r2020] best=72204.2930 gains=0 lat=0 region~6001 free~941 t=93s status=OPTIMAL
[r2030] best=72204.2930 gains=0 lat=0 region~6001 free~929 t=94s status=OPTIMAL
[r2040] best=72204.2930 gains=0 lat=0 region~6000 free~953 t=94s status=OPTIMAL
[r2050] best=72204.2930 gains=0 lat=0 region~6001 free~953 t=95s status=OPTIMAL
[r2060] best=72204.2930 gains=0 lat=0 region~6001 free~934 t=96s status=OPTIMAL
[r2070] best=72204.2930 gains=0 lat=0 region~6000 free~951 t=97s status=OPTIMAL
[r2080] best=72204.2930 gains=0 lat=0 region~6000 free~944 t=98s status=OPTIMAL
Interrupted system call ; error code 4
