[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[250,700] 5000s seed29
[E-756rr] it4550: cur 33485.230 best 33490.458 (+0.000) T=0.308 acc4410 [140s]
[E-756rr] it4600: cur 33485.459 best 33490.458 (+0.000) T=0.301 acc4458 [142s]
[E-756rr] it4650: cur 33485.230 best 33490.458 (+0.000) T=0.293 acc4507 [143s]
[E-756rr] it4700: cur 33485.459 best 33490.458 (+0.000) T=0.286 acc4555 [145s]
[E-756rr] it4750: cur 33485.459 best 33490.458 (+0.000) T=0.279 acc4603 [146s]
[E-756rr] it4800: cur 33485.459 best 33490.458 (+0.000) T=0.272 acc4651 [148s]
[E-756rr] it4850: cur 33485.230 best 33490.458 (+0.000) T=0.265 acc4700 [149s]
[E-756rr] it4900: cur 33485.370 best 33490.458 (+0.000) T=0.259 acc4748 [151s]
[E-756rr] it4950: cur 33485.599 best 33490.458 (+0.000) T=0.252 acc4796 [153s]
[E-756rr] it5000: cur 33485.459 best 33490.458 (+0.000) T=0.246 acc4838 [154s]
[E-756rr] it5050: cur 33485.459 best 33490.458 (+0.000) T=0.240 acc4885 [156s]
[E-756rr] it5100: cur 33485.230 best 33490.458 (+0.000) T=0.234 acc4932 [158s]
[E-756rr] it5150: cur 33485.459 best 33490.458 (+0.000) T=0.228 acc4981 [160s]
[E-756rr] it5200: cur 33485.230 best 33490.458 (+0.000) T=0.223 acc5030 [161s]
[E-756rr] it5250: cur 33485.230 best 33490.458 (+0.000) T=0.217 acc5074 [163s]
[E-756rr] it5300: cur 33485.459 best 33490.458 (+0.000) T=0.212 acc5123 [165s]
[E-756rr] it5350: cur 33485.459 best 33490.458 (+0.000) T=0.207 acc5170 [166s]
[E-756rr] it5400: cur 33485.230 best 33490.458 (+0.000) T=0.201 acc5215 [168s]
[E-756rr] it5450: cur 33485.459 best 33490.458 (+0.000) T=0.197 acc5259 [169s]
[E-756rr] it5500: cur 33485.230 best 33490.458 (+0.000) T=0.192 acc5306 [171s]
[E-756rr] it5550: cur 33485.459 best 33490.458 (+0.000) T=0.187 acc5351 [173s]
[E-756rr] it5600: cur 33485.230 best 33490.458 (+0.000) T=0.182 acc5399 [174s]
[E-756rr] it5650: cur 33485.230 best 33490.458 (+0.000) T=0.178 acc5445 [176s]
[E-756rr] it5700: cur 33485.459 best 33490.458 (+0.000) T=0.173 acc5492 [177s]
[E-756rr] it5750: cur 33486.524 best 33490.458 (+0.000) T=0.169 acc5537 [179s]
[E-756rr] it5800: cur 33486.524 best 33490.458 (+0.000) T=0.165 acc5583 [180s]
[E-756rr] it5850: cur 33486.384 best 33490.458 (+0.000) T=0.161 acc5626 [182s]
[E-756rr] it5900: cur 33486.155 best 33490.458 (+0.000) T=0.157 acc5670 [183s]
[E-756rr] it5950: cur 33486.384 best 33490.458 (+0.000) T=0.153 acc5716 [185s]
[E-756rr] it6000: cur 33486.155 best 33490.458 (+0.000) T=0.149 acc5765 [186s]
[E-756rr] it6050: cur 33486.155 best 33490.458 (+0.000) T=0.146 acc5814 [188s]
[E-756rr] it6100: cur 33486.155 best 33490.458 (+0.000) T=0.142 acc5862 [189s]
[E-756rr] it6150: cur 33486.384 best 33490.458 (+0.000) T=0.138 acc5908 [191s]
[E-756rr] it6200: cur 33486.384 best 33490.458 (+0.000) T=0.135 acc5952 [192s]
[E-756rr] it6250: cur 33486.384 best 33490.458 (+0.000) T=0.132 acc5994 [194s]
[E-756rr] it6300: cur 33486.384 best 33490.458 (+0.000) T=0.128 acc6037 [195s]
[E-756rr] it6350: cur 33486.384 best 33490.458 (+0.000) T=0.125 acc6081 [197s]
[E-756rr] it6400: cur 33486.384 best 33490.458 (+0.000) T=0.122 acc6124 [199s]
[E-756rr] it6450: cur 33486.384 best 33490.458 (+0.000) T=0.119 acc6165 [200s]
[E-756rr] it6500: cur 33486.384 best 33490.458 (+0.000) T=0.116 acc6206 [202s]
[E-756rr] it6550: cur 33486.384 best 33490.458 (+0.000) T=0.113 acc6244 [203s]
[E-756rr] it6600: cur 33486.384 best 33490.458 (+0.000) T=0.111 acc6292 [205s]
[E-756rr] it6650: cur 33486.384 best 33490.458 (+0.000) T=0.108 acc6337 [207s]
