error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[r1330] best=72204.2930 gains=0 vars~2402 t=211s status=OPTIMAL obj_int=11964585
[r1340] best=72204.2930 gains=0 vars~2471 t=212s status=OPTIMAL obj_int=11943436
[r1350] best=72204.2930 gains=0 vars~2431 t=213s status=OPTIMAL obj_int=11975790
[r1360] best=72204.2930 gains=0 vars~2391 t=214s status=OPTIMAL obj_int=11839410
[r1370] best=72204.2930 gains=0 vars~2429 t=216s status=OPTIMAL obj_int=11850288
[r1380] best=72204.2930 gains=0 vars~2460 t=217s status=OPTIMAL obj_int=11830851
[r1390] best=72204.2930 gains=0 vars~2460 t=218s status=OPTIMAL obj_int=11852676
[r1400] best=72204.2930 gains=0 vars~2510 t=220s status=OPTIMAL obj_int=11908551
[r1410] best=72204.2930 gains=0 vars~2431 t=221s status=OPTIMAL obj_int=11937652
[r1420] best=72204.2930 gains=0 vars~2446 t=222s status=OPTIMAL obj_int=11717283
[r1430] best=72204.2930 gains=0 vars~2447 t=223s status=OPTIMAL obj_int=11850856
[r1440] best=72204.2930 gains=0 vars~2469 t=225s status=OPTIMAL obj_int=11863045
[r1450] best=72204.2930 gains=0 vars~2431 t=226s status=OPTIMAL obj_int=11860567
[r1460] best=72204.2930 gains=0 vars~2446 t=227s status=OPTIMAL obj_int=11817898
[r1470] best=72204.2930 gains=0 vars~2452 t=228s status=OPTIMAL obj_int=11857058
[r1480] best=72204.2930 gains=0 vars~2405 t=230s status=OPTIMAL obj_int=11933930
[r1490] best=72204.2930 gains=0 vars~2455 t=231s status=OPTIMAL obj_int=11917434
[r1500] best=72204.2930 gains=0 vars~2399 t=232s status=OPTIMAL obj_int=11826603
[r1510] best=72204.2930 gains=0 vars~2436 t=233s status=OPTIMAL obj_int=11870454
[r1520] best=72204.2930 gains=0 vars~2421 t=235s status=OPTIMAL obj_int=12063732
[r1530] best=72204.2930 gains=0 vars~2456 t=236s status=OPTIMAL obj_int=11884015
[r1540] best=72204.2930 gains=0 vars~2398 t=237s status=OPTIMAL obj_int=11891453
[r1550] best=72204.2930 gains=0 vars~2412 t=238s status=OPTIMAL obj_int=11942806
[r1560] best=72204.2930 gains=0 vars~2437 t=240s status=OPTIMAL obj_int=11994772
[r1570] best=72204.2930 gains=0 vars~2447 t=241s status=OPTIMAL obj_int=11818961
[r1580] best=72204.2930 gains=0 vars~2469 t=242s status=OPTIMAL obj_int=11913791
[r1590] best=72204.2930 gains=0 vars~2436 t=243s status=OPTIMAL obj_int=11835138
[r1600] best=72204.2930 gains=0 vars~2451 t=245s status=OPTIMAL obj_int=11832578
[r1610] best=72204.2930 gains=0 vars~2466 t=246s status=OPTIMAL obj_int=11971882
[r1620] best=72204.2930 gains=0 vars~2488 t=247s status=OPTIMAL obj_int=11977248
[r1630] best=72204.2930 gains=0 vars~2452 t=248s status=OPTIMAL obj_int=11881459
[r1640] best=72204.2930 gains=0 vars~2407 t=250s status=OPTIMAL obj_int=11914486
[r1650] best=72204.2930 gains=0 vars~2429 t=251s status=OPTIMAL obj_int=11890872
[r1660] best=72204.2930 gains=0 vars~2487 t=252s status=OPTIMAL obj_int=11816470
[r1670] best=72204.2930 gains=0 vars~2508 t=253s status=OPTIMAL obj_int=11848056
[r1680] best=72204.2930 gains=0 vars~2466 t=255s status=OPTIMAL obj_int=11921266
[r1690] best=72204.2930 gains=0 vars~2421 t=256s status=OPTIMAL obj_int=11905721
[r1700] best=72204.2930 gains=0 vars~2480 t=257s status=OPTIMAL obj_int=11900569
[r1710] best=72204.2930 gains=0 vars~2468 t=258s status=OPTIMAL obj_int=11961523
[r1720] best=72204.2930 gains=0 vars~2492 t=260s status=OPTIMAL obj_int=11910890
[r1730] best=72204.2930 gains=0 vars~2378 t=261s status=OPTIMAL obj_int=11779366
[r1740] best=72204.2930 gains=0 vars~2422 t=262s status=OPTIMAL obj_int=11747726
[r1750] best=72204.2930 gains=0 vars~2458 t=263s status=OPTIMAL obj_int=11964029
[r1760] best=72204.2930 gains=0 vars~2442 t=265s status=OPTIMAL obj_int=11904498
[r1770] best=72204.2930 gains=0 vars~2416 t=266s status=OPTIMAL obj_int=11815718
[r1780] best=72204.2930 gains=0 vars~2490 t=267s status=OPTIMAL obj_int=11837453
[r1790] best=72204.2930 gains=0 vars~2459 t=268s status=OPTIMAL obj_int=11897451
[r1800] best=72204.2930 gains=0 vars~2452 t=270s status=OPTIMAL obj_int=11823003
[r1810] best=72204.2930 gains=0 vars~2476 t=271s status=OPTIMAL obj_int=11822017
[r1820] best=72204.2930 gains=0 vars~2469 t=272s status=OPTIMAL obj_int=11886277
[r1830] best=72204.2930 gains=0 vars~2343 t=273s status=OPTIMAL obj_int=11858887
[r1840] best=72204.2930 gains=0 vars~2463 t=275s status=OPTIMAL obj_int=11912505
[r1850] best=72204.2930 gains=0 vars~2506 t=276s status=OPTIMAL obj_int=11868583
[r1860] best=72204.2930 gains=0 vars~2491 t=277s status=OPTIMAL obj_int=11898763
[r1870] best=72204.2930 gains=0 vars~2444 t=278s status=OPTIMAL obj_int=11910710
[r1880] best=72204.2930 gains=0 vars~2412 t=280s status=OPTIMAL obj_int=11942212
[r1890] best=72204.2930 gains=0 vars~2427 t=281s status=OPTIMAL obj_int=11905064
[r1900] best=72204.2930 gains=0 vars~2407 t=282s status=OPTIMAL obj_int=11842426
[r1910] best=72204.2930 gains=0 vars~2464 t=283s status=OPTIMAL obj_int=11854201
[r1920] best=72204.2930 gains=0 vars~2428 t=285s status=OPTIMAL obj_int=11834884
[r1930] best=72204.2930 gains=0 vars~2477 t=286s status=OPTIMAL obj_int=11993302
[r1940] best=72204.2930 gains=0 vars~2444 t=287s status=OPTIMAL obj_int=11860343
[r1950] best=72204.2930 gains=0 vars~2360 t=288s status=OPTIMAL obj_int=11886619
[r1960] best=72204.2930 gains=0 vars~2437 t=290s status=OPTIMAL obj_int=11896669
[r1970] best=72204.2930 gains=0 vars~2453 t=291s status=OPTIMAL obj_int=11990821
[r1980] best=72204.2930 gains=0 vars~2440 t=292s status=OPTIMAL obj_int=11908936
[r1990] best=72204.2930 gains=0 vars~2398 t=293s status=OPTIMAL obj_int=12039987
[r2000] best=72204.2930 gains=0 vars~2445 t=295s status=OPTIMAL obj_int=11899465
[r2010] best=72204.2930 gains=0 vars~2478 t=296s status=OPTIMAL obj_int=11883989
[r2020] best=72204.2930 gains=0 vars~2427 t=297s status=OPTIMAL obj_int=11970072
[r2030] best=72204.2930 gains=0 vars~2435 t=298s status=OPTIMAL obj_int=11913903
[r2040] best=72204.2930 gains=0 vars~2430 t=300s status=OPTIMAL obj_int=11887973
[r2050] best=72204.2930 gains=0 vars~2424 t=301s status=OPTIMAL obj_int=11896113
[r2060] best=72204.2930 gains=0 vars~2448 t=302s status=OPTIMAL obj_int=11946242
[r2070] best=72204.2930 gains=0 vars~2337 t=303s status=OPTIMAL obj_int=11981100
[r2080] best=72204.2930 gains=0 vars~2454 t=305s status=OPTIMAL obj_int=11891650
[r2090] best=72204.2930 gains=0 vars~2472 t=306s status=OPTIMAL obj_int=11906223
[r2100] best=72204.2930 gains=0 vars~2444 t=307s status=OPTIMAL obj_int=11841022
[r2110] best=72204.2930 gains=0 vars~2492 t=308s status=OPTIMAL obj_int=12018570
[r2120] best=72204.2930 gains=0 vars~2416 t=310s status=OPTIMAL obj_int=11953134
[r2130] best=72204.2930 gains=0 vars~2465 t=311s status=OPTIMAL obj_int=11802351
[r2140] best=72204.2930 gains=0 vars~2431 t=312s status=OPTIMAL obj_int=11817082
[r2150] best=72204.2930 gains=0 vars~2444 t=313s status=OPTIMAL obj_int=11925765
[r2160] best=72204.2930 gains=0 vars~2429 t=315s status=OPTIMAL obj_int=11947256
[r2170] best=72204.2930 gains=0 vars~2372 t=316s status=OPTIMAL obj_int=11805765
[r2180] best=72204.2930 gains=0 vars~2440 t=317s status=OPTIMAL obj_int=11987085
[r2190] best=72204.2930 gains=0 vars~2442 t=319s status=OPTIMAL obj_int=11852463
[r2200] best=72204.2930 gains=0 vars~2451 t=320s status=OPTIMAL obj_int=11856540
[r2210] best=72204.2930 gains=0 vars~2465 t=321s status=OPTIMAL obj_int=11965104
[r2220] best=72204.2930 gains=0 vars~2402 t=322s status=OPTIMAL obj_int=11870446
[r2230] best=72204.2930 gains=0 vars~2493 t=324s status=OPTIMAL obj_int=12022318
[r2240] best=72204.2930 gains=0 vars~2437 t=325s status=OPTIMAL obj_int=12026202
[r2250] best=72204.2930 gains=0 vars~2482 t=326s status=OPTIMAL obj_int=11886565
[r2260] best=72204.2930 gains=0 vars~2442 t=327s status=OPTIMAL obj_int=11962031
[r2270] best=72204.2930 gains=0 vars~2450 t=328s status=OPTIMAL obj_int=11957939
[r2280] best=72204.2930 gains=0 vars~2490 t=330s status=OPTIMAL obj_int=11852557
[r2290] best=72204.2930 gains=0 vars~2393 t=331s status=OPTIMAL obj_int=11897926
[r2300] best=72204.2930 gains=0 vars~2469 t=332s status=OPTIMAL obj_int=11938337
[r2310] best=72204.2930 gains=0 vars~2450 t=333s status=OPTIMAL obj_int=11857134
[r2320] best=72204.2930 gains=0 vars~2410 t=335s status=OPTIMAL obj_int=11946099
[r2330] best=72204.2930 gains=0 vars~2423 t=336s status=OPTIMAL obj_int=11976951
[r2340] best=72204.2930 gains=0 vars~2468 t=337s status=OPTIMAL obj_int=11919326
[r2350] best=72204.2930 gains=0 vars~2446 t=339s status=OPTIMAL obj_int=11749768
[r2360] best=72204.2930 gains=0 vars~2432 t=340s status=OPTIMAL obj_int=11886404
[r2370] best=72204.2930 gains=0 vars~2413 t=341s status=OPTIMAL obj_int=11847628
[r2380] best=72204.2930 gains=0 vars~2482 t=342s status=OPTIMAL obj_int=11960116
[r2390] best=72204.2930 gains=0 vars~2438 t=344s status=OPTIMAL obj_int=11929180
[r2400] best=72204.2930 gains=0 vars~2438 t=345s status=OPTIMAL obj_int=11903680
[r2410] best=72204.2930 gains=0 vars~2414 t=346s status=OPTIMAL obj_int=11902843
[r2420] best=72204.2930 gains=0 vars~2417 t=347s status=OPTIMAL obj_int=11794749
[r2430] best=72204.2930 gains=0 vars~2383 t=349s status=OPTIMAL obj_int=11901036
[r2440] best=72204.2930 gains=0 vars~2468 t=350s status=OPTIMAL obj_int=11840376
[r2450] best=72204.2930 gains=0 vars~2454 t=351s status=OPTIMAL obj_int=11912104
[r2460] best=72204.2930 gains=0 vars~2396 t=352s status=OPTIMAL obj_int=11881931
[r2470] best=72204.2930 gains=0 vars~2411 t=354s status=OPTIMAL obj_int=11828684
[r2480] best=72204.2930 gains=0 vars~2419 t=355s status=OPTIMAL obj_int=11868468
[r2490] best=72204.2930 gains=0 vars~2498 t=356s status=OPTIMAL obj_int=11924586
[r2500] best=72204.2930 gains=0 vars~2428 t=357s status=OPTIMAL obj_int=11970730
[r2510] best=72204.2930 gains=0 vars~2419 t=359s status=OPTIMAL obj_int=11889458
[r2520] best=72204.2930 gains=0 vars~2440 t=360s status=OPTIMAL obj_int=11875234
[r2530] best=72204.2930 gains=0 vars~2449 t=361s status=OPTIMAL obj_int=11881518
[r2540] best=72204.2930 gains=0 vars~2452 t=363s status=OPTIMAL obj_int=11781675
[r2550] best=72204.2930 gains=0 vars~2414 t=364s status=OPTIMAL obj_int=11899589
[r2560] best=72204.2930 gains=0 vars~2470 t=365s status=OPTIMAL obj_int=11909442
[r2570] best=72204.2930 gains=0 vars~2405 t=366s status=OPTIMAL obj_int=11786719
[r2580] best=72204.2930 gains=0 vars~2436 t=368s status=OPTIMAL obj_int=11820116
[r2590] best=72204.2930 gains=0 vars~2438 t=369s status=OPTIMAL obj_int=11872684
[r2600] best=72204.2930 gains=0 vars~2466 t=370s status=OPTIMAL obj_int=11892078
[r2610] best=72204.2930 gains=0 vars~2396 t=371s status=OPTIMAL obj_int=11768503
[r2620] best=72204.2930 gains=0 vars~2400 t=373s status=OPTIMAL obj_int=11792505
[r2630] best=72204.2930 gains=0 vars~2439 t=374s status=OPTIMAL obj_int=11882270
[r2640] best=72204.2930 gains=0 vars~2369 t=375s status=OPTIMAL obj_int=11921567
[r2650] best=72204.2930 gains=0 vars~2431 t=376s status=OPTIMAL obj_int=11827494
[r2660] best=72204.2930 gains=0 vars~2435 t=377s status=OPTIMAL obj_int=11902339
[r2670] best=72204.2930 gains=0 vars~2495 t=379s status=OPTIMAL obj_int=11885798
[r2680] best=72204.2930 gains=0 vars~2393 t=380s status=OPTIMAL obj_int=11878276
[r2690] best=72204.2930 gains=0 vars~2474 t=381s status=OPTIMAL obj_int=11959758
[r2700] best=72204.2930 gains=0 vars~2389 t=382s status=OPTIMAL obj_int=11930365
[r2710] best=72204.2930 gains=0 vars~2417 t=384s status=OPTIMAL obj_int=11851885
[r2720] best=72204.2930 gains=0 vars~2441 t=385s status=OPTIMAL obj_int=11953699
[r2730] best=72204.2930 gains=0 vars~2435 t=386s status=OPTIMAL obj_int=11928020
[r2740] best=72204.2930 gains=0 vars~2422 t=388s status=OPTIMAL obj_int=11902315
[r2750] best=72204.2930 gains=0 vars~2436 t=389s status=OPTIMAL obj_int=11860584
[r2760] best=72204.2930 gains=0 vars~2421 t=390s status=OPTIMAL obj_int=11802424
[r2770] best=72204.2930 gains=0 vars~2401 t=391s status=OPTIMAL obj_int=11861812
[r2780] best=72204.2930 gains=0 vars~2491 t=393s status=OPTIMAL obj_int=11925387
[r2790] best=72204.2930 gains=0 vars~2419 t=394s status=OPTIMAL obj_int=11906928
[r2800] best=72204.2930 gains=0 vars~2467 t=395s status=OPTIMAL obj_int=11936025
[r2810] best=72204.2930 gains=0 vars~2413 t=396s status=OPTIMAL obj_int=11960357
[r2820] best=72204.2930 gains=0 vars~2473 t=398s status=OPTIMAL obj_int=11879549
[r2830] best=72204.2930 gains=0 vars~2477 t=399s status=OPTIMAL obj_int=11851587
[r2840] best=72204.2930 gains=0 vars~2435 t=400s status=OPTIMAL obj_int=11907584
[r2850] best=72204.2930 gains=0 vars~2451 t=401s status=OPTIMAL obj_int=11884224
[r2860] best=72204.2930 gains=0 vars~2483 t=403s status=OPTIMAL obj_int=11893114
[r2870] best=72204.2930 gains=0 vars~2408 t=404s status=OPTIMAL obj_int=11863978
[r2880] best=72204.2930 gains=0 vars~2421 t=405s status=OPTIMAL obj_int=11796145
[r2890] best=72204.2930 gains=0 vars~2448 t=407s status=OPTIMAL obj_int=11891636
[r2900] best=72204.2930 gains=0 vars~2445 t=408s status=OPTIMAL obj_int=11867219
[r2910] best=72204.2930 gains=0 vars~2448 t=409s status=OPTIMAL obj_int=11896966
[r2920] best=72204.2930 gains=0 vars~2459 t=410s status=OPTIMAL obj_int=11939320
[r2930] best=72204.2930 gains=0 vars~2464 t=412s status=OPTIMAL obj_int=11879783
[r2940] best=72204.2930 gains=0 vars~2455 t=413s status=OPTIMAL obj_int=11947180
[r2950] best=72204.2930 gains=0 vars~2374 t=414s status=OPTIMAL obj_int=11879572
[r2960] best=72204.2930 gains=0 vars~2445 t=415s status=OPTIMAL obj_int=11933548
[r2970] best=72204.2930 gains=0 vars~2479 t=417s status=OPTIMAL obj_int=11968381
[r2980] best=72204.2930 gains=0 vars~2379 t=418s status=OPTIMAL obj_int=11825098
[r2990] best=72204.2930 gains=0 vars~2472 t=419s status=OPTIMAL obj_int=11875144
[r3000] best=72204.2930 gains=0 vars~2425 t=420s status=OPTIMAL obj_int=11815993
[r3010] best=72204.2930 gains=0 vars~2421 t=422s status=OPTIMAL obj_int=11870573
[r3020] best=72204.2930 gains=0 vars~2427 t=423s status=OPTIMAL obj_int=11836481
