[i] n=25000 bank=33338.1840 sel=4465 k_free=400 block_time=45.0s seed=31
[r260] best=33338.1840 gains=0 vars~541 t=13s status=OPTIMAL obj_int=2966419
[r270] best=33338.1840 gains=0 vars~526 t=13s status=OPTIMAL obj_int=2968540
[r280] best=33338.1840 gains=0 vars~543 t=14s status=OPTIMAL obj_int=3005866
[r290] best=33338.1840 gains=0 vars~538 t=14s status=OPTIMAL obj_int=2993375
[r300] best=33338.1840 gains=0 vars~532 t=15s status=OPTIMAL obj_int=2987719
[r310] best=33338.1840 gains=0 vars~535 t=15s status=OPTIMAL obj_int=2961328
[r320] best=33338.1840 gains=0 vars~518 t=16s status=OPTIMAL obj_int=2982578
[r330] best=33338.1840 gains=0 vars~524 t=16s status=OPTIMAL obj_int=2859772
[r340] best=33338.1840 gains=0 vars~523 t=16s status=OPTIMAL obj_int=2985929
[r350] best=33338.1840 gains=0 vars~532 t=17s status=OPTIMAL obj_int=3036794
[r360] best=33338.1840 gains=0 vars~535 t=17s status=OPTIMAL obj_int=2954821
[r370] best=33338.1840 gains=0 vars~517 t=18s status=OPTIMAL obj_int=2951546
[r380] best=33338.1840 gains=0 vars~535 t=18s status=OPTIMAL obj_int=2921299
[r390] best=33338.1840 gains=0 vars~543 t=19s status=OPTIMAL obj_int=3007788
[r400] best=33338.1840 gains=0 vars~533 t=19s status=OPTIMAL obj_int=3042633
[r410] best=33338.1840 gains=0 vars~536 t=20s status=OPTIMAL obj_int=2978608
[r420] best=33338.1840 gains=0 vars~525 t=20s status=OPTIMAL obj_int=2983568
[r430] best=33338.1840 gains=0 vars~518 t=21s status=OPTIMAL obj_int=2932138
[r440] best=33338.1840 gains=0 vars~510 t=21s status=OPTIMAL obj_int=2971821
[r450] best=33338.1840 gains=0 vars~520 t=22s status=OPTIMAL obj_int=3006993
[r460] best=33338.1840 gains=0 vars~519 t=22s status=OPTIMAL obj_int=3007964
[r470] best=33338.1840 gains=0 vars~531 t=22s status=OPTIMAL obj_int=3003294
[r480] best=33338.1840 gains=0 vars~515 t=23s status=OPTIMAL obj_int=2977993
[r490] best=33338.1840 gains=0 vars~522 t=24s status=OPTIMAL obj_int=3009614
[r500] best=33338.1840 gains=0 vars~516 t=24s status=OPTIMAL obj_int=3028006
[r510] best=33338.1840 gains=0 vars~540 t=24s status=OPTIMAL obj_int=3057961
[r520] best=33338.1840 gains=0 vars~509 t=25s status=OPTIMAL obj_int=2997603
[r530] best=33338.1840 gains=0 vars~517 t=25s status=OPTIMAL obj_int=2960782
[r540] best=33338.1840 gains=0 vars~523 t=26s status=OPTIMAL obj_int=2968678
[r550] best=33338.1840 gains=0 vars~546 t=26s status=OPTIMAL obj_int=2999870
[r560] best=33338.1840 gains=0 vars~524 t=27s status=OPTIMAL obj_int=2971992
[r570] best=33338.1840 gains=0 vars~525 t=27s status=OPTIMAL obj_int=3013536
[r580] best=33338.1840 gains=0 vars~515 t=28s status=OPTIMAL obj_int=2988427
[r590] best=33338.1840 gains=0 vars~529 t=28s status=OPTIMAL obj_int=2968643
[r600] best=33338.1840 gains=0 vars~528 t=29s status=OPTIMAL obj_int=3040548
[r610] best=33338.1840 gains=0 vars~542 t=29s status=OPTIMAL obj_int=2991347
[r620] best=33338.1840 gains=0 vars~521 t=30s status=OPTIMAL obj_int=2988613
[r630] best=33338.1840 gains=0 vars~516 t=30s status=OPTIMAL obj_int=2992082
[r640] best=33338.1840 gains=0 vars~528 t=31s status=OPTIMAL obj_int=2996152
[r650] best=33338.1840 gains=0 vars~528 t=31s status=OPTIMAL obj_int=2934712
[r660] best=33338.1840 gains=0 vars~538 t=32s status=OPTIMAL obj_int=3028394
[r670] best=33338.1840 gains=0 vars~530 t=32s status=OPTIMAL obj_int=2982505
[r680] best=33338.1840 gains=0 vars~512 t=33s status=OPTIMAL obj_int=2974523
[r690] best=33338.1840 gains=0 vars~541 t=33s status=OPTIMAL obj_int=3056891
[r700] best=33338.1840 gains=0 vars~528 t=34s status=OPTIMAL obj_int=2993789
[r710] best=33338.1840 gains=0 vars~531 t=34s status=OPTIMAL obj_int=2997385
[r720] best=33338.1840 gains=0 vars~553 t=35s status=OPTIMAL obj_int=2968122
[r730] best=33338.1840 gains=0 vars~523 t=35s status=OPTIMAL obj_int=2981669
[r740] best=33338.1840 gains=0 vars~534 t=36s status=OPTIMAL obj_int=2922367
[r750] best=33338.1840 gains=0 vars~532 t=36s status=OPTIMAL obj_int=3040602
[r760] best=33338.1840 gains=0 vars~535 t=37s status=OPTIMAL obj_int=2985592
[r770] best=33338.1840 gains=0 vars~538 t=37s status=OPTIMAL obj_int=2999889
[r780] best=33338.1840 gains=0 vars~542 t=38s status=OPTIMAL obj_int=3035391
[r790] best=33338.1840 gains=0 vars~509 t=38s status=OPTIMAL obj_int=2896306
[r800] best=33338.1840 gains=0 vars~542 t=39s status=OPTIMAL obj_int=3038978
[r810] best=33338.1840 gains=0 vars~543 t=39s status=OPTIMAL obj_int=3049476
[r820] best=33338.1840 gains=0 vars~525 t=40s status=OPTIMAL obj_int=2991639
[r830] best=33338.1840 gains=0 vars~527 t=40s status=OPTIMAL obj_int=3053892
[r840] best=33338.1840 gains=0 vars~527 t=40s status=OPTIMAL obj_int=3019111
[r850] best=33338.1840 gains=0 vars~519 t=41s status=OPTIMAL obj_int=3027924
[r860] best=33338.1840 gains=0 vars~530 t=41s status=OPTIMAL obj_int=2966970
[r870] best=33338.1840 gains=0 vars~537 t=42s status=OPTIMAL obj_int=3022251
[r880] best=33338.1840 gains=0 vars~531 t=42s status=OPTIMAL obj_int=2984142
[r890] best=33338.1840 gains=0 vars~535 t=43s status=OPTIMAL obj_int=2947416
[r900] best=33338.1840 gains=0 vars~533 t=43s status=OPTIMAL obj_int=2976726
[r910] best=33338.1840 gains=0 vars~528 t=44s status=OPTIMAL obj_int=2899514
[r920] best=33338.1840 gains=0 vars~533 t=44s status=OPTIMAL obj_int=2955529
[r930] best=33338.1840 gains=0 vars~518 t=45s status=OPTIMAL obj_int=2975584
[r940] best=33338.1840 gains=0 vars~513 t=45s status=OPTIMAL obj_int=2985218
[r950] best=33338.1840 gains=0 vars~543 t=46s status=OPTIMAL obj_int=2987526
[r960] best=33338.1840 gains=0 vars~536 t=46s status=OPTIMAL obj_int=2985895
[r970] best=33338.1840 gains=0 vars~529 t=47s status=OPTIMAL obj_int=2990547
[r980] best=33338.1840 gains=0 vars~523 t=47s status=OPTIMAL obj_int=3061880
[r990] best=33338.1840 gains=0 vars~535 t=48s status=OPTIMAL obj_int=2968890
[r1000] best=33338.1840 gains=0 vars~519 t=48s status=OPTIMAL obj_int=2948376
[r1010] best=33338.1840 gains=0 vars~537 t=49s status=OPTIMAL obj_int=2954139
[r1020] best=33338.1840 gains=0 vars~529 t=49s status=OPTIMAL obj_int=3026632
[r1030] best=33338.1840 gains=0 vars~522 t=50s status=OPTIMAL obj_int=3008003
[r1040] best=33338.1840 gains=0 vars~526 t=50s status=OPTIMAL obj_int=2978621
[r1050] best=33338.1840 gains=0 vars~517 t=51s status=OPTIMAL obj_int=2981951
[r1060] best=33338.1840 gains=0 vars~519 t=51s status=OPTIMAL obj_int=3017718
[r1070] best=33338.1840 gains=0 vars~521 t=52s status=OPTIMAL obj_int=2960634
[r1080] best=33338.1840 gains=0 vars~532 t=52s status=OPTIMAL obj_int=2970689
[r1090] best=33338.1840 gains=0 vars~523 t=53s status=OPTIMAL obj_int=3063670
[r1100] best=33338.1840 gains=0 vars~538 t=53s status=OPTIMAL obj_int=3009292
[r1110] best=33338.1840 gains=0 vars~529 t=54s status=OPTIMAL obj_int=3016633
[r1120] best=33338.1840 gains=0 vars~524 t=54s status=OPTIMAL obj_int=2984699
[r1130] best=33338.1840 gains=0 vars~532 t=55s status=OPTIMAL obj_int=2924868
[r1140] best=33338.1840 gains=0 vars~519 t=55s status=OPTIMAL obj_int=3032696
[r1150] best=33338.1840 gains=0 vars~521 t=56s status=OPTIMAL obj_int=2979611
[r1160] best=33338.1840 gains=0 vars~517 t=56s status=OPTIMAL obj_int=2943100
[r1170] best=33338.1840 gains=0 vars~535 t=56s status=OPTIMAL obj_int=2992319
[r1180] best=33338.1840 gains=0 vars~533 t=57s status=OPTIMAL obj_int=3002769
[r1190] best=33338.1840 gains=0 vars~524 t=57s status=OPTIMAL obj_int=3008788
[r1200] best=33338.1840 gains=0 vars~547 t=57s status=OPTIMAL obj_int=3026117
[r1210] best=33338.1840 gains=0 vars~520 t=58s status=OPTIMAL obj_int=3000291
[r1220] best=33338.1840 gains=0 vars~519 t=58s status=OPTIMAL obj_int=3048647
[r1230] best=33338.1840 gains=0 vars~513 t=58s status=OPTIMAL obj_int=2959446
[r1240] best=33338.1840 gains=0 vars~522 t=58s status=OPTIMAL obj_int=2975822
[r1250] best=33338.1840 gains=0 vars~526 t=59s status=OPTIMAL obj_int=2986875
[r1260] best=33338.1840 gains=0 vars~523 t=59s status=OPTIMAL obj_int=2937061
[r1270] best=33338.1840 gains=0 vars~524 t=59s status=OPTIMAL obj_int=3022653
[r1280] best=33338.1840 gains=0 vars~536 t=59s status=OPTIMAL obj_int=2982258
[r1290] best=33338.1840 gains=0 vars~510 t=59s status=OPTIMAL obj_int=2986752
[r1300] best=33338.1840 gains=0 vars~528 t=60s status=OPTIMAL obj_int=2942480
[r1310] best=33338.1840 gains=0 vars~529 t=60s status=OPTIMAL obj_int=2998942
[r1320] best=33338.1840 gains=0 vars~518 t=60s status=OPTIMAL obj_int=2988053
[r1330] best=33338.1840 gains=0 vars~539 t=61s status=OPTIMAL obj_int=2916456
[r1340] best=33338.1840 gains=0 vars~528 t=61s status=OPTIMAL obj_int=2994428
[r1350] best=33338.1840 gains=0 vars~520 t=61s status=OPTIMAL obj_int=2992771
[r1360] best=33338.1840 gains=0 vars~513 t=61s status=OPTIMAL obj_int=3006418
[r1370] best=33338.1840 gains=0 vars~534 t=62s status=OPTIMAL obj_int=3044392
[r1380] best=33338.1840 gains=0 vars~536 t=62s status=OPTIMAL obj_int=2981645
[r1390] best=33338.1840 gains=0 vars~518 t=62s status=OPTIMAL obj_int=3015928
[r1400] best=33338.1840 gains=0 vars~517 t=62s status=OPTIMAL obj_int=2979069
[r1410] best=33338.1840 gains=0 vars~526 t=63s status=OPTIMAL obj_int=3020262
[r1420] best=33338.1840 gains=0 vars~525 t=63s status=OPTIMAL obj_int=3001723
[r1430] best=33338.1840 gains=0 vars~538 t=63s status=OPTIMAL obj_int=2942580
[r1440] best=33338.1840 gains=0 vars~521 t=63s status=OPTIMAL obj_int=2998680
[r1450] best=33338.1840 gains=0 vars~532 t=64s status=OPTIMAL obj_int=3039267
[r1460] best=33338.1840 gains=0 vars~533 t=64s status=OPTIMAL obj_int=2965408
[r1470] best=33338.1840 gains=0 vars~530 t=64s status=OPTIMAL obj_int=2949528
[r1480] best=33338.1840 gains=0 vars~522 t=64s status=OPTIMAL obj_int=3066494
[r1490] best=33338.1840 gains=0 vars~513 t=65s status=OPTIMAL obj_int=3002281
[r1500] best=33338.1840 gains=0 vars~528 t=65s status=OPTIMAL obj_int=3015871
[r1510] best=33338.1840 gains=0 vars~514 t=65s status=OPTIMAL obj_int=2942880
[r1520] best=33338.1840 gains=0 vars~553 t=65s status=OPTIMAL obj_int=2984421
[r1530] best=33338.1840 gains=0 vars~548 t=66s status=OPTIMAL obj_int=2989933
[r1540] best=33338.1840 gains=0 vars~536 t=66s status=OPTIMAL obj_int=2955888
[r1550] best=33338.1840 gains=0 vars~540 t=66s status=OPTIMAL obj_int=3020762
[r1560] best=33338.1840 gains=0 vars~520 t=66s status=OPTIMAL obj_int=2992414
[r1570] best=33338.1840 gains=0 vars~525 t=67s status=OPTIMAL obj_int=3013296
[r1580] best=33338.1840 gains=0 vars~526 t=67s status=OPTIMAL obj_int=2989882
[r1590] best=33338.1840 gains=0 vars~546 t=67s status=OPTIMAL obj_int=2985858
[r1600] best=33338.1840 gains=0 vars~528 t=67s status=OPTIMAL obj_int=3028705
[r1610] best=33338.1840 gains=0 vars~522 t=68s status=OPTIMAL obj_int=2938728
[r1620] best=33338.1840 gains=0 vars~513 t=68s status=OPTIMAL obj_int=3005863
[r1630] best=33338.1840 gains=0 vars~506 t=68s status=OPTIMAL obj_int=2945188
[r1640] best=33338.1840 gains=0 vars~543 t=68s status=OPTIMAL obj_int=2947187
[r1650] best=33338.1840 gains=0 vars~527 t=69s status=OPTIMAL obj_int=3003763
[r1660] best=33338.1840 gains=0 vars~536 t=69s status=OPTIMAL obj_int=2964014
[r1670] best=33338.1840 gains=0 vars~526 t=69s status=OPTIMAL obj_int=2993961
[r1680] best=33338.1840 gains=0 vars~522 t=69s status=OPTIMAL obj_int=3032810
[r1690] best=33338.1840 gains=0 vars~521 t=70s status=OPTIMAL obj_int=2971426
[r1700] best=33338.1840 gains=0 vars~523 t=70s status=OPTIMAL obj_int=3050123
[r1710] best=33338.1840 gains=0 vars~516 t=70s status=OPTIMAL obj_int=2986374
[r1720] best=33338.1840 gains=0 vars~537 t=70s status=OPTIMAL obj_int=2956866
[r1730] best=33338.1840 gains=0 vars~546 t=71s status=OPTIMAL obj_int=2946062
[r1740] best=33338.1840 gains=0 vars~525 t=71s status=OPTIMAL obj_int=2970174
[r1750] best=33338.1840 gains=0 vars~531 t=71s status=OPTIMAL obj_int=3007549
[r1760] best=33338.1840 gains=0 vars~530 t=71s status=OPTIMAL obj_int=2984688
[r1770] best=33338.1840 gains=0 vars~523 t=72s status=OPTIMAL obj_int=2967952
[r1780] best=33338.1840 gains=0 vars~534 t=72s status=OPTIMAL obj_int=2983218
[r1790] best=33338.1840 gains=0 vars~531 t=72s status=OPTIMAL obj_int=2984832
[r1800] best=33338.1840 gains=0 vars~527 t=72s status=OPTIMAL obj_int=2995839
[r1810] best=33338.1840 gains=0 vars~534 t=73s status=OPTIMAL obj_int=2989151
[r1820] best=33338.1840 gains=0 vars~525 t=73s status=OPTIMAL obj_int=2955639
[r1830] best=33338.1840 gains=0 vars~533 t=73s status=OPTIMAL obj_int=3057452
[r1840] best=33338.1840 gains=0 vars~527 t=73s status=OPTIMAL obj_int=3039734
[r1850] best=33338.1840 gains=0 vars~510 t=74s status=OPTIMAL obj_int=2989637
[r1860] best=33338.1840 gains=0 vars~537 t=74s status=OPTIMAL obj_int=3012019
[r1870] best=33338.1840 gains=0 vars~516 t=74s status=OPTIMAL obj_int=3024555
[r1880] best=33338.1840 gains=0 vars~521 t=74s status=OPTIMAL obj_int=2941739
[r1890] best=33338.1840 gains=0 vars~535 t=75s status=OPTIMAL obj_int=2944760
[r1900] best=33338.1840 gains=0 vars~516 t=75s status=OPTIMAL obj_int=2974467
[r1910] best=33338.1840 gains=0 vars~528 t=75s status=OPTIMAL obj_int=2933539
[r1920] best=33338.1840 gains=0 vars~552 t=75s status=OPTIMAL obj_int=3015440
[r1930] best=33338.1840 gains=0 vars~517 t=76s status=OPTIMAL obj_int=3021998
[r1940] best=33338.1840 gains=0 vars~515 t=76s status=OPTIMAL obj_int=2983757
[r1950] best=33338.1840 gains=0 vars~531 t=76s status=OPTIMAL obj_int=2943384
[r1960] best=33338.1840 gains=0 vars~543 t=76s status=OPTIMAL obj_int=3012353
[r1970] best=33338.1840 gains=0 vars~520 t=77s status=OPTIMAL obj_int=2983867
[r1980] best=33338.1840 gains=0 vars~539 t=77s status=OPTIMAL obj_int=2982670
[r1990] best=33338.1840 gains=0 vars~531 t=77s status=OPTIMAL obj_int=2975976
[r2000] best=33338.1840 gains=0 vars~538 t=77s status=OPTIMAL obj_int=2993113
[r2010] best=33338.1840 gains=0 vars~525 t=78s status=OPTIMAL obj_int=3017145
[r2020] best=33338.1840 gains=0 vars~515 t=78s status=OPTIMAL obj_int=2957517
[r2030] best=33338.1840 gains=0 vars~545 t=78s status=OPTIMAL obj_int=3036338
[r2040] best=33338.1840 gains=0 vars~513 t=78s status=OPTIMAL obj_int=2942525
[r2050] best=33338.1840 gains=0 vars~527 t=79s status=OPTIMAL obj_int=3014070
[r2060] best=33338.1840 gains=0 vars~548 t=79s status=OPTIMAL obj_int=2989737
[r2070] best=33338.1840 gains=0 vars~531 t=79s status=OPTIMAL obj_int=2978711
[r2080] best=33338.1840 gains=0 vars~520 t=79s status=OPTIMAL obj_int=3022953
[r2090] best=33338.1840 gains=0 vars~538 t=80s status=OPTIMAL obj_int=3025775
[r2100] best=33338.1840 gains=0 vars~521 t=80s status=OPTIMAL obj_int=2997334
[r2110] best=33338.1840 gains=0 vars~514 t=80s status=OPTIMAL obj_int=2978320
[r2120] best=33338.1840 gains=0 vars~527 t=80s status=OPTIMAL obj_int=2960993
[r2130] best=33338.1840 gains=0 vars~522 t=81s status=OPTIMAL obj_int=2967913
[r2140] best=33338.1840 gains=0 vars~525 t=81s status=OPTIMAL obj_int=2969614
[r2150] best=33338.1840 gains=0 vars~505 t=81s status=OPTIMAL obj_int=3000890
[r2160] best=33338.1840 gains=0 vars~548 t=81s status=OPTIMAL obj_int=2968573
[r2170] best=33338.1840 gains=0 vars~515 t=82s status=OPTIMAL obj_int=2957545
[r2180] best=33338.1840 gains=0 vars~531 t=82s status=OPTIMAL obj_int=2982130
[r2190] best=33338.1840 gains=0 vars~548 t=82s status=OPTIMAL obj_int=3003034
[r2200] best=33338.1840 gains=0 vars~526 t=82s status=OPTIMAL obj_int=2991604
[r2210] best=33338.1840 gains=0 vars~544 t=83s status=OPTIMAL obj_int=2963899
[r2220] best=33338.1840 gains=0 vars~525 t=83s status=OPTIMAL obj_int=2960012
[r2230] best=33338.1840 gains=0 vars~523 t=83s status=OPTIMAL obj_int=2986974
[r2240] best=33338.1840 gains=0 vars~521 t=83s status=OPTIMAL obj_int=2945261
[r2250] best=33338.1840 gains=0 vars~520 t=84s status=OPTIMAL obj_int=2981864
[r2260] best=33338.1840 gains=0 vars~524 t=84s status=OPTIMAL obj_int=2907313
[r2270] best=33338.1840 gains=0 vars~538 t=84s status=OPTIMAL obj_int=2989258
[r2280] best=33338.1840 gains=0 vars~538 t=84s status=OPTIMAL obj_int=3028018
[r2290] best=33338.1840 gains=0 vars~535 t=85s status=OPTIMAL obj_int=3034186
[r2300] best=33338.1840 gains=0 vars~539 t=85s status=OPTIMAL obj_int=2975747
[r2310] best=33338.1840 gains=0 vars~542 t=85s status=OPTIMAL obj_int=3007148
[r2320] best=33338.1840 gains=0 vars~535 t=85s status=OPTIMAL obj_int=2947762
[r2330] best=33338.1840 gains=0 vars~520 t=86s status=OPTIMAL obj_int=2948855
[r2340] best=33338.1840 gains=0 vars~521 t=86s status=OPTIMAL obj_int=2984480
[r2350] best=33338.1840 gains=0 vars~518 t=86s status=OPTIMAL obj_int=3029571
[r2360] best=33338.1840 gains=0 vars~524 t=87s status=OPTIMAL obj_int=2990423
[r2370] best=33338.1840 gains=0 vars~523 t=87s status=OPTIMAL obj_int=2946685
[r2380] best=33338.1840 gains=0 vars~520 t=87s status=OPTIMAL obj_int=2931070
[r2390] best=33338.1840 gains=0 vars~533 t=87s status=OPTIMAL obj_int=2969792
[r2400] best=33338.1840 gains=0 vars~546 t=88s status=OPTIMAL obj_int=2994708
[r2410] best=33338.1840 gains=0 vars~541 t=88s status=OPTIMAL obj_int=2952414
[r2420] best=33338.1840 gains=0 vars~514 t=88s status=OPTIMAL obj_int=3020934
[r2430] best=33338.1840 gains=0 vars~529 t=88s status=OPTIMAL obj_int=2984032
[r2440] best=33338.1840 gains=0 vars~528 t=89s status=OPTIMAL obj_int=2960295
[r2450] best=33338.1840 gains=0 vars~523 t=89s status=OPTIMAL obj_int=3030076
[r2460] best=33338.1840 gains=0 vars~548 t=89s status=OPTIMAL obj_int=3000887
[r2470] best=33338.1840 gains=0 vars~510 t=89s status=OPTIMAL obj_int=2951493
[r2480] best=33338.1840 gains=0 vars~527 t=90s status=OPTIMAL obj_int=2974311
[r2490] best=33338.1840 gains=0 vars~519 t=90s status=OPTIMAL obj_int=2958436
[r2500] best=33338.1840 gains=0 vars~540 t=90s status=OPTIMAL obj_int=3004216
[r2510] best=33338.1840 gains=0 vars~525 t=90s status=OPTIMAL obj_int=2998453
[r2520] best=33338.1840 gains=0 vars~524 t=91s status=OPTIMAL obj_int=2993870
[r2530] best=33338.1840 gains=0 vars~551 t=91s status=OPTIMAL obj_int=2908964
[r2540] best=33338.1840 gains=0 vars~521 t=91s status=OPTIMAL obj_int=3003218
[r2550] best=33338.1840 gains=0 vars~533 t=91s status=OPTIMAL obj_int=2938211
[r2560] best=33338.1840 gains=0 vars~521 t=92s status=OPTIMAL obj_int=2963941
[r2570] best=33338.1840 gains=0 vars~537 t=92s status=OPTIMAL obj_int=3069410
[r2580] best=33338.1840 gains=0 vars~529 t=92s status=OPTIMAL obj_int=2986449
[r2590] best=33338.1840 gains=0 vars~520 t=92s status=OPTIMAL obj_int=2994624
[r2600] best=33338.1840 gains=0 vars~541 t=93s status=OPTIMAL obj_int=3089363
[r2610] best=33338.1840 gains=0 vars~527 t=93s status=OPTIMAL obj_int=2923687
[r2620] best=33338.1840 gains=0 vars~536 t=93s status=OPTIMAL obj_int=3010601
[r2630] best=33338.1840 gains=0 vars~535 t=93s status=OPTIMAL obj_int=2975447
[r2640] best=33338.1840 gains=0 vars~525 t=94s status=OPTIMAL obj_int=3045302
[r2650] best=33338.1840 gains=0 vars~521 t=94s status=OPTIMAL obj_int=3047145
[r2660] best=33338.1840 gains=0 vars~515 t=94s status=OPTIMAL obj_int=3056862
[r2670] best=33338.1840 gains=0 vars~529 t=94s status=OPTIMAL obj_int=2944963
[r2680] best=33338.1840 gains=0 vars~534 t=95s status=OPTIMAL obj_int=2971166
[r2690] best=33338.1840 gains=0 vars~533 t=95s status=OPTIMAL obj_int=2999524
[r2700] best=33338.1840 gains=0 vars~525 t=95s status=OPTIMAL obj_int=3007299
[r2710] best=33338.1840 gains=0 vars~529 t=95s status=OPTIMAL obj_int=2993350
[r2720] best=33338.1840 gains=0 vars~542 t=96s status=OPTIMAL obj_int=2987575
[r2730] best=33338.1840 gains=0 vars~527 t=96s status=OPTIMAL obj_int=3009507
[r2740] best=33338.1840 gains=0 vars~525 t=96s status=OPTIMAL obj_int=2993888
[r2750] best=33338.1840 gains=0 vars~527 t=96s status=OPTIMAL obj_int=3052682
[r2760] best=33338.1840 gains=0 vars~532 t=97s status=OPTIMAL obj_int=2967358
[r2770] best=33338.1840 gains=0 vars~513 t=97s status=OPTIMAL obj_int=3029623
[r2780] best=33338.1840 gains=0 vars~524 t=97s status=OPTIMAL obj_int=3029416
[r2790] best=33338.1840 gains=0 vars~523 t=97s status=OPTIMAL obj_int=2995427
[r2800] best=33338.1840 gains=0 vars~515 t=98s status=OPTIMAL obj_int=3003792
[r2810] best=33338.1840 gains=0 vars~515 t=98s status=OPTIMAL obj_int=3007225
[r2820] best=33338.1840 gains=0 vars~507 t=98s status=OPTIMAL obj_int=2961094
[r2830] best=33338.1840 gains=0 vars~534 t=98s status=OPTIMAL obj_int=2967497
[r2840] best=33338.1840 gains=0 vars~545 t=99s status=OPTIMAL obj_int=2997271
[r2850] best=33338.1840 gains=0 vars~529 t=99s status=OPTIMAL obj_int=2968078
[r2860] best=33338.1840 gains=0 vars~527 t=99s status=OPTIMAL obj_int=2950087
[r2870] best=33338.1840 gains=0 vars~520 t=99s status=OPTIMAL obj_int=3009042
[r2880] best=33338.1840 gains=0 vars~528 t=100s status=OPTIMAL obj_int=3010589
[r2890] best=33338.1840 gains=0 vars~523 t=100s status=OPTIMAL obj_int=3005491
[r2900] best=33338.1840 gains=0 vars~529 t=100s status=OPTIMAL obj_int=2990807
[r2910] best=33338.1840 gains=0 vars~516 t=100s status=OPTIMAL obj_int=2919615
[r2920] best=33338.1840 gains=0 vars~535 t=101s status=OPTIMAL obj_int=3003105
[r2930] best=33338.1840 gains=0 vars~512 t=101s status=OPTIMAL obj_int=3052354
[r2940] best=33338.1840 gains=0 vars~523 t=101s status=OPTIMAL obj_int=2997277
[r2950] best=33338.1840 gains=0 vars~520 t=101s status=OPTIMAL obj_int=2915755
[r2960] best=33338.1840 gains=0 vars~501 t=102s status=OPTIMAL obj_int=2998901
[r2970] best=33338.1840 gains=0 vars~520 t=102s status=OPTIMAL obj_int=3066943
[r2980] best=33338.1840 gains=0 vars~540 t=102s status=OPTIMAL obj_int=2981084
[r2990] best=33338.1840 gains=0 vars~509 t=102s status=OPTIMAL obj_int=2974192
[r3000] best=33338.1840 gains=0 vars~528 t=103s status=OPTIMAL obj_int=2995578
[r3010] best=33338.1840 gains=0 vars~533 t=103s status=OPTIMAL obj_int=3010870
[r3020] best=33338.1840 gains=0 vars~535 t=103s status=OPTIMAL obj_int=2977920
[r3030] best=33338.1840 gains=0 vars~532 t=103s status=OPTIMAL obj_int=3005471
[r3040] best=33338.1840 gains=0 vars~521 t=104s status=OPTIMAL obj_int=2961287
[r3050] best=33338.1840 gains=0 vars~562 t=104s status=OPTIMAL obj_int=2945535
[r3060] best=33338.1840 gains=0 vars~544 t=104s status=OPTIMAL obj_int=2937117
[r3070] best=33338.1840 gains=0 vars~525 t=104s status=OPTIMAL obj_int=2951861
[r3080] best=33338.1840 gains=0 vars~523 t=105s status=OPTIMAL obj_int=2974411
[r3090] best=33338.1840 gains=0 vars~531 t=105s status=OPTIMAL obj_int=2982844
[r3100] best=33338.1840 gains=0 vars~536 t=105s status=OPTIMAL obj_int=2974137
[r3110] best=33338.1840 gains=0 vars~532 t=105s status=OPTIMAL obj_int=2965867
