E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c1] table+rank ready in 0.2s q=0.05d T=4000
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] iter=25 elapsed=0.6min DP_ok=18 DP_fail=7 accepted=18 rate=41.4/min state=119.4255 best=116.3755 kick=3 stale=17
[c1] iter=30 elapsed=0.6min DP_ok=21 DP_fail=9 accepted=21 rate=47.0/min state=120.2774 best=118.5255 kick=3 stale=21
[c0] iter=35 elapsed=0.7min DP_ok=21 DP_fail=14 accepted=21 rate=52.8/min state=119.4255 best=116.3755 kick=3 stale=19
[c3] iter=40 elapsed=0.7min DP_ok=22 DP_fail=18 accepted=22 rate=56.5/min state=119.4255 best=118.5255 kick=3 stale=22
[c1] iter=35 elapsed=0.8min DP_ok=25 DP_fail=10 accepted=25 rate=46.5/min state=120.2774 best=118.5255 kick=3 stale=25
[c0] iter=40 elapsed=0.8min DP_ok=24 DP_fail=16 accepted=24 rate=52.9/min state=119.4255 best=116.3755 kick=3 stale=22
[c3] iter=45 elapsed=0.8min DP_ok=25 DP_fail=20 accepted=25 rate=56.4/min state=119.4255 best=118.5255 kick=3 stale=25
[c2] iter=35 elapsed=0.8min DP_ok=26 DP_fail=9 accepted=26 rate=41.7/min state=119.4255 best=116.3755 kick=3 stale=25
[c3] iter=50 elapsed=0.9min DP_ok=28 DP_fail=22 accepted=28 rate=56.6/min state=119.4255 best=118.5255 kick=3 stale=28
[c1] iter=45 elapsed=0.9min DP_ok=31 DP_fail=14 accepted=31 rate=48.7/min state=120.2774 best=118.5255 kick=3 stale=31
[c2] iter=40 elapsed=0.9min DP_ok=29 DP_fail=11 accepted=29 rate=43.3/min state=119.4255 best=116.3755 kick=3 stale=28
[c1] iter=50 elapsed=1.1min DP_ok=36 DP_fail=14 accepted=36 rate=47.0/min state=120.2774 best=118.5255 kick=3 stale=36
[c2] iter=45 elapsed=1.1min DP_ok=33 DP_fail=12 accepted=33 rate=41.9/min state=119.4255 best=116.3755 kick=3 stale=32
[c0] iter=55 elapsed=1.1min DP_ok=32 DP_fail=23 accepted=32 rate=51.1/min state=119.4255 best=116.3755 kick=3 stale=30
[c0] iter=60 elapsed=1.1min DP_ok=34 DP_fail=26 accepted=34 rate=52.9/min state=119.4255 best=116.3755 kick=3 stale=32
[c3] iter=65 elapsed=1.2min DP_ok=39 DP_fail=26 accepted=39 rate=53.0/min state=118.9255 best=118.5255 kick=3 stale=39
[c2] iter=60 elapsed=1.3min DP_ok=39 DP_fail=21 accepted=39 rate=46.1/min state=119.4255 best=116.3755 kick=3 stale=38
[c3] iter=75 elapsed=1.4min DP_ok=44 DP_fail=31 accepted=44 rate=54.8/min state=122.7253 best=118.5255 kick=3 stale=44
[c1] iter=65 elapsed=1.4min DP_ok=45 DP_fail=20 accepted=45 rate=46.5/min state=120.2774 best=118.5255 kick=3 stale=45
[c2] iter=65 elapsed=1.4min DP_ok=43 DP_fail=22 accepted=43 rate=45.9/min state=119.4255 best=116.3755 kick=3 stale=42
[c0] iter=75 elapsed=1.4min DP_ok=44 DP_fail=31 accepted=44 rate=52.4/min state=119.4255 best=116.3755 kick=3 stale=42
[c1] iter=70 elapsed=1.5min DP_ok=50 DP_fail=20 accepted=50 rate=45.6/min state=120.2774 best=118.5255 kick=3 stale=50
[c0] iter=85 elapsed=1.5min DP_ok=48 DP_fail=37 accepted=47 rate=55.1/min state=119.4255 best=116.3755 kick=3 stale=46
[c3] iter=85 elapsed=1.6min DP_ok=52 DP_fail=33 accepted=51 rate=53.5/min state=123.1752 best=118.5255 kick=3 stale=52
[c2] iter=75 elapsed=1.7min DP_ok=49 DP_fail=26 accepted=49 rate=45.4/min state=119.4255 best=116.3755 kick=3 stale=48
[c0] iter=95 elapsed=1.7min DP_ok=53 DP_fail=42 accepted=52 rate=56.0/min state=119.4255 best=116.3755 kick=3 stale=51
[c2] iter=80 elapsed=1.7min DP_ok=52 DP_fail=28 accepted=52 rate=46.1/min state=119.4255 best=116.3755 kick=3 stale=51
[c1] iter=80 elapsed=1.8min DP_ok=57 DP_fail=23 accepted=57 rate=44.9/min state=120.2774 best=118.5255 kick=3 stale=57
[c2] iter=85 elapsed=1.8min DP_ok=55 DP_fail=30 accepted=55 rate=46.7/min state=119.4255 best=116.3755 kick=3 stale=54
[c0] iter=100 elapsed=1.8min DP_ok=57 DP_fail=43 accepted=56 rate=54.6/min state=119.4255 best=116.3755 kick=3 stale=55
[c3] iter=100 elapsed=1.9min DP_ok=60 DP_fail=40 accepted=58 rate=53.7/min state=123.1752 best=118.5255 kick=3 stale=60
[c2] iter=90 elapsed=1.9min DP_ok=58 DP_fail=32 accepted=58 rate=47.3/min state=119.4255 best=116.3755 kick=3 stale=57
[c0] iter=105 elapsed=1.9min DP_ok=60 DP_fail=45 accepted=59 rate=54.9/min state=119.4255 best=116.3755 kick=3 stale=58
[c3] iter=105 elapsed=2.0min DP_ok=64 DP_fail=41 accepted=62 rate=53.3/min state=123.1752 best=118.5255 kick=3 stale=64
[c0] iter=110 elapsed=2.0min DP_ok=63 DP_fail=47 accepted=62 rate=55.1/min state=119.4255 best=116.3755 kick=3 stale=61
[c2] iter=95 elapsed=2.0min DP_ok=62 DP_fail=33 accepted=62 rate=47.1/min state=119.4255 best=116.3755 kick=3 stale=61
[c2] iter=100 elapsed=2.1min DP_ok=64 DP_fail=36 accepted=64 rate=47.7/min state=119.4255 best=116.3755 kick=3 stale=63
[c0] iter=115 elapsed=2.1min DP_ok=65 DP_fail=50 accepted=64 rate=54.7/min state=119.4255 best=116.3755 kick=3 stale=63
[c3] iter=110 elapsed=2.1min DP_ok=69 DP_fail=41 accepted=67 rate=52.2/min state=123.1752 best=118.5255 kick=3 stale=69
[c1] iter=100 elapsed=2.2min DP_ok=70 DP_fail=30 accepted=70 rate=45.1/min state=120.2774 best=118.5255 kick=3 stale=70
[c3] iter=115 elapsed=2.2min DP_ok=74 DP_fail=41 accepted=72 rate=51.2/min state=123.1752 best=118.5255 kick=3 stale=74
[c0] iter=125 elapsed=2.3min DP_ok=72 DP_fail=53 accepted=71 rate=53.8/min state=119.4255 best=116.3755 kick=3 stale=70
[c1] iter=115 elapsed=2.4min DP_ok=75 DP_fail=40 accepted=75 rate=48.3/min state=119.3274 best=118.5255 kick=3 stale=75
[c2] iter=115 elapsed=2.4min DP_ok=75 DP_fail=40 accepted=75 rate=47.4/min state=119.4255 best=116.3755 kick=3 stale=74
[c0] iter=135 elapsed=2.5min DP_ok=77 DP_fail=58 accepted=76 rate=54.8/min state=119.4255 best=116.3755 kick=3 stale=75
[c0] iter=140 elapsed=2.6min DP_ok=81 DP_fail=59 accepted=80 rate=54.4/min state=119.4255 best=116.3755 kick=3 stale=79
[c1] iter=125 elapsed=2.6min DP_ok=80 DP_fail=45 accepted=80 rate=48.6/min state=119.3274 best=118.5255 kick=3 stale=80
[c2] iter=125 elapsed=2.6min DP_ok=81 DP_fail=44 accepted=81 rate=48.2/min state=119.4255 best=116.3755 kick=3 stale=80
[c3] iter=135 elapsed=2.6min DP_ok=86 DP_fail=49 accepted=84 rate=51.9/min state=125.0752 best=118.5255 kick=3 stale=86
[c1] iter=130 elapsed=2.7min DP_ok=84 DP_fail=46 accepted=84 rate=48.5/min state=119.3274 best=118.5255 kick=3 stale=84
[c3] iter=140 elapsed=2.7min DP_ok=88 DP_fail=52 accepted=86 rate=52.2/min state=123.1752 best=118.5255 kick=3 stale=88
[c2] iter=130 elapsed=2.7min DP_ok=85 DP_fail=45 accepted=85 rate=48.0/min state=119.4255 best=116.3755 kick=3 stale=84
[c1] iter=135 elapsed=2.8min DP_ok=87 DP_fail=48 accepted=87 rate=48.4/min state=119.3274 best=118.5255 kick=3 stale=87
[c0] iter=150 elapsed=2.8min DP_ok=88 DP_fail=62 accepted=87 rate=53.7/min state=119.4255 best=116.3755 kick=3 stale=86
[c3] iter=145 elapsed=2.8min DP_ok=92 DP_fail=53 accepted=90 rate=51.4/min state=123.1752 best=118.5255 kick=3 stale=92
[c2] iter=135 elapsed=2.8min DP_ok=89 DP_fail=46 accepted=89 rate=47.7/min state=119.4255 best=116.3755 kick=3 stale=88
[c1] iter=140 elapsed=2.9min DP_ok=90 DP_fail=50 accepted=90 rate=48.7/min state=119.3274 best=118.5255 kick=3 stale=90
[c0] iter=155 elapsed=2.9min DP_ok=90 DP_fail=65 accepted=88 rate=53.9/min state=119.4255 best=116.3755 kick=3 stale=88
[c2] iter=140 elapsed=2.9min DP_ok=91 DP_fail=49 accepted=91 rate=48.5/min state=119.4255 best=116.3755 kick=3 stale=90
[c1] iter=145 elapsed=3.0min DP_ok=93 DP_fail=52 accepted=93 rate=49.0/min state=119.3274 best=118.5255 kick=3 stale=93
[c2] iter=145 elapsed=3.0min DP_ok=94 DP_fail=51 accepted=94 rate=48.4/min state=119.4255 best=116.3755 kick=3 stale=93
[c0] iter=165 elapsed=3.0min DP_ok=94 DP_fail=71 accepted=92 rate=54.7/min state=119.4255 best=116.3755 kick=3 stale=92
[c1] iter=150 elapsed=3.1min DP_ok=97 DP_fail=53 accepted=97 rate=48.9/min state=119.3274 best=118.5255 kick=3 stale=97
[c3] iter=160 elapsed=3.1min DP_ok=100 DP_fail=60 accepted=98 rate=51.1/min state=123.1752 best=118.5255 kick=4 stale=100
[c2] iter=150 elapsed=3.1min DP_ok=99 DP_fail=51 accepted=99 rate=47.8/min state=119.4255 best=116.3755 kick=3 stale=98
[c1] iter=160 elapsed=3.2min DP_ok=101 DP_fail=59 accepted=101 rate=49.9/min state=119.3274 best=118.5255 kick=4 stale=101
[c0] iter=175 elapsed=3.2min DP_ok=100 DP_fail=75 accepted=98 rate=54.5/min state=119.4255 best=116.3755 kick=3 stale=98
[c0] iter=180 elapsed=3.3min DP_ok=104 DP_fail=76 accepted=102 rate=54.2/min state=119.4255 best=116.3755 kick=4 stale=102
[c2] iter=160 elapsed=3.3min DP_ok=106 DP_fail=54 accepted=106 rate=48.0/min state=123.1752 best=116.3755 kick=4 stale=105
[c1] iter=165 elapsed=3.3min DP_ok=106 DP_fail=59 accepted=106 rate=49.3/min state=119.3274 best=118.5255 kick=4 stale=106
[c3] iter=175 elapsed=3.4min DP_ok=109 DP_fail=66 accepted=107 rate=51.8/min state=123.1752 best=118.5255 kick=4 stale=109
[c2] iter=165 elapsed=3.4min DP_ok=108 DP_fail=57 accepted=108 rate=48.7/min state=123.1752 best=116.3755 kick=4 stale=107
[c1] iter=170 elapsed=3.4min DP_ok=109 DP_fail=61 accepted=109 rate=49.6/min state=119.3274 best=118.5255 kick=4 stale=109
[c0] iter=185 elapsed=3.5min DP_ok=107 DP_fail=78 accepted=105 rate=53.5/min state=119.4255 best=116.3755 kick=4 stale=105
[c1] iter=175 elapsed=3.5min DP_ok=110 DP_fail=65 accepted=110 rate=50.2/min state=119.3274 best=118.5255 kick=4 stale=110
[c3] iter=180 elapsed=3.5min DP_ok=114 DP_fail=66 accepted=112 rate=51.1/min state=123.1752 best=118.5255 kick=4 stale=114
[c0] iter=190 elapsed=3.6min DP_ok=111 DP_fail=79 accepted=109 rate=53.3/min state=119.4255 best=116.3755 kick=4 stale=109
[c1] iter=180 elapsed=3.6min DP_ok=113 DP_fail=67 accepted=113 rate=50.5/min state=119.3274 best=118.5255 kick=4 stale=113
[c2] iter=175 elapsed=3.6min DP_ok=115 DP_fail=60 accepted=115 rate=48.9/min state=119.4255 best=116.3755 kick=4 stale=114
[c2] iter=180 elapsed=3.7min DP_ok=119 DP_fail=61 accepted=119 rate=48.8/min state=119.4255 best=116.3755 kick=4 stale=118
[c0] iter=200 elapsed=3.8min DP_ok=116 DP_fail=84 accepted=114 rate=53.1/min state=119.4255 best=116.3755 kick=4 stale=114
[c2] iter=185 elapsed=3.8min DP_ok=123 DP_fail=62 accepted=122 rate=48.7/min state=119.4255 best=116.3755 kick=4 stale=122
[c0] iter=205 elapsed=3.8min DP_ok=118 DP_fail=87 accepted=116 rate=53.6/min state=119.4255 best=116.3755 kick=4 stale=116
[c3] iter=200 elapsed=3.9min DP_ok=123 DP_fail=77 accepted=121 rate=51.4/min state=123.1752 best=118.5255 kick=4 stale=123
[c1] iter=200 elapsed=3.9min DP_ok=123 DP_fail=77 accepted=123 rate=51.3/min state=119.3274 best=118.5255 kick=4 stale=123
[c2] iter=190 elapsed=3.9min DP_ok=127 DP_fail=63 accepted=126 rate=48.6/min state=120.2755 best=116.3755 kick=4 stale=126
[c0] iter=210 elapsed=4.0min DP_ok=123 DP_fail=87 accepted=121 rate=53.0/min state=119.4255 best=116.3755 kick=4 stale=121
[c3] iter=205 elapsed=4.0min DP_ok=125 DP_fail=80 accepted=123 rate=51.6/min state=123.1752 best=118.5255 kick=4 stale=125
[c1] iter=215 elapsed=4.1min DP_ok=129 DP_fail=86 accepted=129 rate=52.6/min state=119.3274 best=118.5255 kick=4 stale=129
[c3] iter=215 elapsed=4.2min DP_ok=132 DP_fail=83 accepted=130 rate=51.4/min state=123.1752 best=118.5255 kick=4 stale=132
[c2] iter=210 elapsed=4.2min DP_ok=137 DP_fail=73 accepted=136 rate=49.5/min state=120.2755 best=116.3755 kick=4 stale=136
[c1] iter=225 elapsed=4.3min DP_ok=136 DP_fail=89 accepted=136 rate=52.3/min state=123.2781 best=118.5255 kick=4 stale=136
[c0] iter=230 elapsed=4.3min DP_ok=135 DP_fail=95 accepted=133 rate=53.2/min state=119.4255 best=116.3755 kick=4 stale=133
[c3] iter=225 elapsed=4.3min DP_ok=136 DP_fail=89 accepted=134 rate=52.0/min state=123.1752 best=118.5255 kick=4 stale=136
[c2] iter=215 elapsed=4.4min DP_ok=141 DP_fail=74 accepted=139 rate=49.4/min state=120.2755 best=116.3755 kick=4 stale=140
[c3] iter=230 elapsed=4.4min DP_ok=139 DP_fail=91 accepted=137 rate=52.2/min state=123.1752 best=118.5255 kick=4 stale=139
[c0] iter=235 elapsed=4.4min DP_ok=139 DP_fail=96 accepted=137 rate=53.0/min state=119.4255 best=116.3755 kick=4 stale=137
[c1] iter=230 elapsed=4.4min DP_ok=139 DP_fail=91 accepted=139 rate=51.9/min state=123.2781 best=118.5255 kick=4 stale=139
[c3] iter=235 elapsed=4.5min DP_ok=143 DP_fail=92 accepted=141 rate=52.0/min state=123.1752 best=118.5255 kick=4 stale=143
[c1] iter=235 elapsed=4.6min DP_ok=142 DP_fail=93 accepted=142 rate=51.5/min state=123.2781 best=118.5255 kick=4 stale=142
[c2] iter=225 elapsed=4.6min DP_ok=147 DP_fail=78 accepted=145 rate=49.2/min state=120.2755 best=116.3755 kick=4 stale=146
[c0] iter=240 elapsed=4.6min DP_ok=143 DP_fail=97 accepted=141 rate=52.5/min state=119.4255 best=116.3755 kick=4 stale=141
[c0] iter=245 elapsed=4.6min DP_ok=145 DP_fail=100 accepted=143 rate=52.8/min state=120.2755 best=116.3755 kick=4 stale=143
[c1] iter=240 elapsed=4.6min DP_ok=145 DP_fail=95 accepted=145 rate=51.7/min state=123.2781 best=118.5255 kick=4 stale=145
[c2] iter=230 elapsed=4.7min DP_ok=152 DP_fail=78 accepted=150 rate=48.8/min state=120.2755 best=116.3755 kick=4 stale=151
[c3] iter=245 elapsed=4.7min DP_ok=149 DP_fail=96 accepted=147 rate=52.0/min state=123.1752 best=118.5255 kick=4 stale=149
[c1] iter=245 elapsed=4.7min DP_ok=148 DP_fail=97 accepted=148 rate=51.6/min state=123.2781 best=118.5255 kick=4 stale=148
[c0] iter=250 elapsed=4.8min DP_ok=148 DP_fail=102 accepted=146 rate=52.6/min state=120.2755 best=116.3755 kick=4 stale=146
[c3] iter=250 elapsed=4.8min DP_ok=152 DP_fail=98 accepted=150 rate=52.1/min state=123.1752 best=118.5255 kick=4 stale=152
[c0] iter=255 elapsed=4.9min DP_ok=152 DP_fail=103 accepted=150 rate=52.4/min state=120.2755 best=116.3755 kick=4 stale=150
[c3] iter=255 elapsed=4.9min DP_ok=156 DP_fail=99 accepted=154 rate=52.0/min state=123.1752 best=118.5255 kick=4 stale=156
[c1] iter=265 elapsed=5.0min DP_ok=156 DP_fail=109 accepted=156 rate=53.3/min state=123.1288 best=118.5255 kick=4 stale=156
[c0] iter=260 elapsed=5.0min DP_ok=155 DP_fail=105 accepted=153 rate=52.3/min state=120.2755 best=116.3755 kick=4 stale=153
[c3] iter=260 elapsed=5.0min DP_ok=160 DP_fail=100 accepted=158 rate=51.6/min state=123.1752 best=118.5255 kick=4 stale=160
[c1] iter=270 elapsed=5.1min DP_ok=161 DP_fail=109 accepted=161 rate=52.9/min state=123.1288 best=118.5255 kick=4 stale=161
[c0] iter=265 elapsed=5.1min DP_ok=160 DP_fail=105 accepted=158 rate=51.8/min state=120.2755 best=116.3755 kick=4 stale=158
[c3] iter=265 elapsed=5.1min DP_ok=163 DP_fail=102 accepted=161 rate=51.5/min state=123.1752 best=118.5255 kick=4 stale=163
[c1] iter=275 elapsed=5.2min DP_ok=163 DP_fail=112 accepted=163 rate=53.0/min state=119.3274 best=118.5255 kick=4 stale=163
[c0] iter=270 elapsed=5.2min DP_ok=164 DP_fail=106 accepted=162 rate=51.7/min state=120.2755 best=116.3755 kick=4 stale=162
[c1] iter=280 elapsed=5.3min DP_ok=165 DP_fail=115 accepted=165 rate=53.2/min state=119.3274 best=118.5255 kick=4 stale=165
[c3] iter=270 elapsed=5.3min DP_ok=168 DP_fail=102 accepted=166 rate=51.1/min state=123.1752 best=118.5255 kick=4 stale=168
[c2] iter=270 elapsed=5.3min DP_ok=172 DP_fail=98 accepted=170 rate=50.7/min state=120.2755 best=116.3755 kick=4 stale=171
[c0] iter=280 elapsed=5.4min DP_ok=169 DP_fail=111 accepted=167 rate=52.0/min state=119.4255 best=116.3755 kick=4 stale=167
[c2] iter=275 elapsed=5.4min DP_ok=175 DP_fail=100 accepted=173 rate=50.7/min state=120.2755 best=116.3755 kick=4 stale=174
[c1] iter=290 elapsed=5.5min DP_ok=172 DP_fail=118 accepted=172 rate=53.2/min state=120.1288 best=118.5255 kick=4 stale=172
[c0] iter=285 elapsed=5.5min DP_ok=172 DP_fail=113 accepted=170 rate=52.1/min state=119.4255 best=116.3755 kick=4 stale=170
[c3] iter=280 elapsed=5.5min DP_ok=175 DP_fail=105 accepted=173 rate=51.1/min state=123.1752 best=118.5255 kick=4 stale=175
[c1] iter=295 elapsed=5.6min DP_ok=176 DP_fail=119 accepted=176 rate=53.0/min state=120.2774 best=118.5255 kick=4 stale=176
[c0] iter=295 elapsed=5.6min DP_ok=177 DP_fail=118 accepted=175 rate=52.6/min state=119.4255 best=116.3755 kick=4 stale=175
[c3] iter=285 elapsed=5.6min DP_ok=179 DP_fail=106 accepted=177 rate=50.7/min state=123.1752 best=118.5255 kick=4 stale=179
[c2] iter=290 elapsed=5.7min DP_ok=182 DP_fail=108 accepted=180 rate=51.3/min state=120.2755 best=116.3755 kick=4 stale=181
[c1] iter=300 elapsed=5.7min DP_ok=179 DP_fail=121 accepted=179 rate=52.9/min state=120.2774 best=118.5255 kick=4 stale=179
[c0] iter=300 elapsed=5.7min DP_ok=181 DP_fail=119 accepted=179 rate=52.5/min state=120.2755 best=116.3755 kick=4 stale=179
[c3] iter=290 elapsed=5.8min DP_ok=184 DP_fail=106 accepted=182 rate=50.4/min state=123.1752 best=118.5255 kick=4 stale=184
[c0] iter=305 elapsed=5.8min DP_ok=184 DP_fail=121 accepted=182 rate=52.6/min state=120.2755 best=116.3755 kick=4 stale=182
[c0] iter=310 elapsed=5.9min DP_ok=185 DP_fail=125 accepted=183 rate=52.6/min state=120.2755 best=116.3755 kick=4 stale=183
[c3] iter=305 elapsed=6.0min DP_ok=189 DP_fail=116 accepted=187 rate=50.8/min state=123.1752 best=118.5255 kick=4 stale=189
[c1] iter=315 elapsed=6.0min DP_ok=189 DP_fail=126 accepted=189 rate=52.5/min state=122.1788 best=118.5255 kick=4 stale=189
[c0] iter=320 elapsed=6.0min DP_ok=188 DP_fail=132 accepted=186 rate=53.1/min state=120.2755 best=116.3755 kick=4 stale=186
[c3] iter=310 elapsed=6.1min DP_ok=193 DP_fail=117 accepted=191 rate=50.7/min state=123.1752 best=118.5255 kick=4 stale=193
[c0] iter=325 elapsed=6.1min DP_ok=192 DP_fail=133 accepted=189 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=190
[c2] iter=315 elapsed=6.2min DP_ok=199 DP_fail=116 accepted=197 rate=50.9/min state=120.2755 best=116.3755 kick=4 stale=198
[c1] iter=330 elapsed=6.3min DP_ok=198 DP_fail=132 accepted=198 rate=52.7/min state=122.1788 best=118.5255 kick=4 stale=198
[c0] iter=330 elapsed=6.3min DP_ok=197 DP_fail=133 accepted=194 rate=52.6/min state=120.2755 best=116.3755 kick=4 stale=195
[c3] iter=325 elapsed=6.3min DP_ok=200 DP_fail=125 accepted=198 rate=51.5/min state=123.1752 best=118.5255 kick=5 stale=200
[c2] iter=320 elapsed=6.3min DP_ok=204 DP_fail=116 accepted=202 rate=50.5/min state=120.2755 best=116.3755 kick=5 stale=203
[c0] iter=335 elapsed=6.4min DP_ok=200 DP_fail=135 accepted=197 rate=52.5/min state=120.2755 best=116.3755 kick=4 stale=198
[c2] iter=325 elapsed=6.4min DP_ok=207 DP_fail=118 accepted=205 rate=50.5/min state=120.2755 best=116.3755 kick=5 stale=206
